Loading graph /home/subhajit/data/min-1DeadEnd.mtx ...
order: 5 size: 6 {}
order: 5 size: 6 {} (transposeWithDegree)
[00001.581 ms; 000 iters.] [0.0000e+00 err.] pagerankNvgraph
[00000.593 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=64; limit=1024]
[00000.497 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=1]
[00000.503 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=2]
[00000.567 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=4]
[00000.596 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=8]
[00000.594 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=16]
[00000.596 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=32]
[00000.613 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=64]
[00000.602 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=128]
[00000.607 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=256]
[00000.592 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=512]
[00000.588 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=128; limit=1024]
[00000.589 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=1]
[00000.512 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=2]
[00000.529 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=4]
[00000.587 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=8]
[00000.600 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=16]
[00000.592 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=32]
[00000.606 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=64]
[00000.606 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=128]
[00000.600 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=256]
[00000.623 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=512]
[00000.608 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=256; limit=1024]
[00000.520 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=1]
[00000.559 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=2]
[00000.587 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=4]
